http://headlines.yahoo.co.jp/hl?a=20140725-00000303-oric-ent
Word	TFIDF
大	0.014204133101904111
メディア	0.004734711033968037
駿一	0.0061100030588885626
記事	0.003968253968253968
最終	0.001984126984126984
気	0.0061100030588885626
見	0.004734711033968037
変化	0.004734711033968037
今回	0.0061100030588885626
42	0.0061100030588885626
られる	0.0061100030588885626
発表	0.007860433543697325
ミニ	0.004734711033968037
!	0.005952380952380952
スカ	0.0061100030588885626
(	0.003968253968253968
25	0.005952380952380952
)	0.003968253968253968
.	0.0061100030588885626
26	0.004734711033968037
Facebook	0.001984126984126984
れる	0.006718838018095021
うれしかっ	0.0061100030588885626
観	0.004734711033968037
7	0.003968253968253968
紙	0.001984126984126984
役	0.0061100030588885626
言わ	0.004734711033968037
つつ	0.0039302167718486625
戻っ	0.0061100030588885626
:	0.001984126984126984
様子	0.0061100030588885626
考え	0.0033594190090475103
国税局	0.0061100030588885626
いる	0.002249070223461354
C	0.0061100030588885626
機能	0.001984126984126984
16	0.0061100030588885626
検索	0.001984126984126984
11	0.0029166738675510625
12	0.009469422067936073
座頭	0.0061100030588885626
笑	0.0061100030588885626
エン	0.002554924746928136
リアルタイム	0.001984126984126984
いね	0.0061100030588885626
中	0.002249070223461354
安心	0.0061100030588885626
”	0.0039302167718486625
“	0.0039302167718486625
です	0.007664774240784409
ニュース	0.007936507936507936
きょう	0.0061100030588885626
方法	0.001984126984126984
皮切り	0.0061100030588885626
…	0.002249070223461354
配信	0.005952380952380952
文化	0.0061100030588885626
いき	0.004734711033968037
やっぱ	0.0061100030588885626
生産	0.004734711033968037
一	0.0039302167718486625
※	0.002554924746928136
先読み	0.001984126984126984
明かし	0.0039302167718486625
いう	0.0029166738675510625
好み	0.001984126984126984
那	0.0061100030588885626
片岡	0.030550015294442814
地方	0.0061100030588885626
便利	0.001984126984126984
実家	0.0061100030588885626
官	0.0061100030588885626
パック	0.001984126984126984
言葉	0.004734711033968037
大き	0.0061100030588885626
色んな	0.0061100030588885626
多い	0.0061100030588885626
指定	0.001984126984126984
わかっ	0.0061100030588885626
行わ	0.004734711033968037
ラン	0.0061100030588885626
私	0.004734711033968037
?	0.001984126984126984
NewS	0.0061100030588885626
ヒット	0.004734711033968037
PR	0.001984126984126984
トピックス	0.001984126984126984
意識	0.001984126984126984
ため	0.001984126984126984
その他	0.001984126984126984
Twitter	0.001984126984126984
読み込み	0.002249070223461354
人	0.0039302167718486625
Yahoo	0.005952380952380952
サクサク	0.001984126984126984
放送	0.0061100030588885626
部	0.003968253968253968
くれ	0.004734711033968037
後	0.0029166738675510625
電車	0.001984126984126984
購読	0.001984126984126984
得	0.001984126984126984
毎日	0.001984126984126984
芝居	0.0061100030588885626
ありがたい	0.0061100030588885626
利用	0.001984126984126984
45	0.0061100030588885626
こんなに	0.0061100030588885626
都内	0.0061100030588885626
アプリデータ	0.001984126984126984
データ	0.001984126984126984
現在	0.001984126984126984
復興	0.004734711033968037
時	0.003968253968253968
リラックス	0.0061100030588885626
巡業	0.0061100030588885626
Buzz	0.003968253968253968
語っ	0.0061100030588885626
抽出	0.002554924746928136
事	0.0061100030588885626
会見	0.012220006117777125
CM	0.0061100030588885626
！	0.0039302167718486625
で	0.023809523809523808
感激	0.0061100030588885626
て	0.02976190476190476
だ	0.007860433543697325
俳優	0.012220006117777125
無効	0.001984126984126984
たい	0.001984126984126984
）	0.005952380952380952
ね	0.011790650315545988
（	0.005952380952380952
は	0.017857142857142856
もっと	0.001984126984126984
の	0.03373015873015873
者	0.002554924746928136
と	0.024739772458074894
喜び	0.0061100030588885626
に	0.025793650793650792
な	0.004498140446922708
こちら	0.001984126984126984
ログイン	0.001984126984126984
半沢	0.0061100030588885626
まし	0.0033594190090475103
回	0.004734711033968037
ます	0.003968253968253968
変更	0.001984126984126984
やっ	0.004734711033968037
デパートメント	0.004734711033968037
い	0.00992063492063492
昨年	0.0039302167718486625
調査	0.001984126984126984
意気込み	0.0061100030588885626
東北	0.0039302167718486625
き	0.0039302167718486625
応援	0.0039302167718486625
が	0.011904761904761904
か	0.0039302167718486625
お	0.003968253968253968
方	0.004734711033968037
ください	0.001984126984126984
し	0.013888888888888888
新規	0.001984126984126984
写真	0.002554924746928136
さ	0.005109849493856272
務める	0.004734711033968037
た	0.02976190476190476
による	0.001984126984126984
オネエ	0.0061100030588885626
せ	0.0033594190090475103
楽	0.0061100030588885626
微笑ん	0.0061100030588885626
ウェイ	0.004734711033968037
もう	0.004734711033968037
腕組み	0.0061100030588885626
有効	0.001984126984126984
取得	0.001984126984126984
設定	0.003968253968253968
好演	0.0061100030588885626
査察	0.0061100030588885626
いただい	0.0061100030588885626
。	0.025793650793650792
歌舞伎	0.030550015294442814
、	0.01984126984126984
　	0.007936507936507936
心境	0.0061100030588885626
作り	0.0061100030588885626
ドラマ	0.009469422067936073
』	0.01572086708739465
『	0.01572086708739465
」	0.013888888888888888
「	0.013888888888888888
全国	0.001984126984126984
統括	0.0061100030588885626
【	0.0039302167718486625
年度	0.0061100030588885626
】	0.0039302167718486625
日	0.007936507936507936
製作	0.012220006117777125
活躍	0.0061100030588885626
感じ	0.012220006117777125
僕	0.0061100030588885626
Japan	0.001984126984126984
かけ	0.004734711033968037
分	0.003968253968253968
出演	0.004734711033968037
巡る	0.0061100030588885626
お客様	0.0061100030588885626
あまり	0.0061100030588885626
急上昇	0.001984126984126984
など	0.0029166738675510625
inc	0.0061100030588885626
キャンペーン	0.001984126984126984
聞か	0.0061100030588885626
更新	0.001984126984126984
・	0.005109849493856272
なっ	0.001984126984126984
する	0.005952380952380952
直樹	0.0061100030588885626
ID	0.001984126984126984
秋季	0.0061100030588885626
初	0.0061100030588885626
芹	0.0061100030588885626
ホール	0.0061100030588885626
公演	0.004734711033968037
ワード	0.003968253968253968
月	0.005952380952380952
おもしろかっ	0.0061100030588885626
ない	0.0029166738675510625
ほか	0.0061100030588885626
JavaScript	0.005952380952380952
RSS	0.001984126984126984
知っ	0.0061100030588885626
なん	0.0061100030588885626
ORICON	0.0061100030588885626
自動	0.002554924746928136
思っ	0.0039302167718486625
オリコン	0.0061100030588885626
街	0.0061100030588885626
なり	0.0029166738675510625
声	0.0039302167718486625
やら	0.0061100030588885626
富山	0.0061100030588885626
改めて	0.004734711033968037
厳選	0.001984126984126984
松竹	0.012220006117777125
プレッシャー	0.0061100030588885626
反響	0.0061100030588885626
タメ	0.002554924746928136
愛之助	0.018330009176665687
来	0.0061100030588885626
編集	0.001984126984126984
情報	0.001984126984126984
同	0.004734711033968037
黒崎	0.0061100030588885626
金	0.003968253968253968
れ	0.004498140446922708
も	0.005952380952380952
条件	0.001984126984126984
各	0.0061100030588885626
非常	0.0061100030588885626
や	0.0033594190090475103
すべて	0.001984126984126984
舞台	0.0061100030588885626
よう	0.005833347735102125
ページ	0.001984126984126984
平成	0.0061100030588885626
ん	0.0033594190090475103
を	0.037698412698412696
出席	0.012220006117777125
高周波	0.0061100030588885626
