http://headlines.yahoo.co.jp/hl?a=20140725-00000002-nksports-ent
Word	TFIDF
原	0.021584870619251184
被災	0.0071949568730837275
最終	0.002336448598130841
記事	0.004672897196261682
34	0.0071949568730837275
うば	0.0071949568730837275
直面	0.0071949568730837275
異動	0.0071949568730837275
!	0.007009345794392523
(	0.004672897196261682
)	0.004672897196261682
25	0.004672897196261682
Facebook	0.002336448598130841
28	0.0071949568730837275
7	0.004672897196261682
紙	0.002336448598130841
5	0.004628105731335808
出田	0.021584870619251184
:	0.002336448598130841
いる	0.0026484378332348657
機能	0.002336448598130841
11	0.0034345879187984477
検索	0.002336448598130841
同期	0.0071949568730837275
エン	0.003008602973018179
リアルタイム	0.002336448598130841
午後	0.0071949568730837275
よる	0.0055754541147661
初任	0.0071949568730837275
中	0.005296875666469731
辻	0.0071949568730837275
ＮＨＫ	0.014389913746167455
ニュース	0.011682242990654205
です	0.003008602973018179
大震災	0.0071949568730837275
方法	0.002336448598130841
…	0.0026484378332348657
配信	0.007009345794392523
明らか	0.009256211462671617
でき	0.0055754541147661
※	0.003008602973018179
先読み	0.002336448598130841
いう	0.0034345879187984477
好み	0.002336448598130841
結婚	0.0167263623442983
便利	0.002336448598130841
挙式	0.0071949568730837275
パック	0.002336448598130841
ネットワーク	0.0071949568730837275
キャスター	0.021584870619251184
指定	0.002336448598130841
衆院	0.014389913746167455
同局	0.0071949568730837275
こと	0.010303763756395343
当日	0.0071949568730837275
?	0.002336448598130841
PR	0.002336448598130841
トピックス	0.002336448598130841
意識	0.002336448598130841
ため	0.002336448598130841
その他	0.002336448598130841
東京外国語大	0.0071949568730837275
Twitter	0.002336448598130841
読み込み	0.0026484378332348657
福島	0.0071949568730837275
入局	0.014389913746167455
Yahoo	0.007009345794392523
サクサク	0.002336448598130841
後	0.0034345879187984477
部	0.002336448598130841
電車	0.002336448598130841
購読	0.002336448598130841
得	0.002336448598130841
清人	0.0071949568730837275
圏	0.0071949568730837275
毎日	0.002336448598130841
赴任	0.0071949568730837275
利用	0.002336448598130841
今春	0.0071949568730837275
アプリデータ	0.002336448598130841
地	0.014389913746167455
現在	0.002336448598130841
データ	0.002336448598130841
時	0.007009345794392523
先輩	0.0071949568730837275
Buzz	0.004672897196261682
プライベート	0.004628105731335808
抽出	0.003008602973018179
金曜	0.0071949568730837275
で	0.02336448598130841
て	0.014018691588785047
無効	0.002336448598130841
男性	0.0055754541147661
）	0.011682242990654205
たい	0.002336448598130841
（	0.011682242990654205
は	0.02570093457943925
の	0.030373831775700934
もっと	0.002336448598130841
と	0.021187502665878925
者	0.003008602973018179
に	0.035046728971962614
な	0.005296875666469731
コメント	0.0055754541147661
０	0.0111509082295322
こちら	0.002336448598130841
１	0.0055754541147661
２	0.011867854069345412
３	0.009256211462671617
４	0.011867854069345412
５	0.0111509082295322
ログイン	0.002336448598130841
７	0.0055754541147661
自民党	0.0071949568730837275
８	0.0071949568730837275
９	0.0055754541147661
ます	0.002336448598130841
変更	0.002336448598130841
奈々	0.0071949568730837275
ので	0.0055754541147661
い	0.009345794392523364
今年	0.0055754541147661
調査	0.002336448598130841
年	0.009256211462671617
まで	0.0034345879187984477
が	0.014018691588785047
お	0.004672897196261682
ください	0.002336448598130841
し	0.02102803738317757
紹介	0.0055754541147661
新規	0.002336448598130841
ご	0.0055754541147661
愛知	0.0071949568730837275
写真	0.003008602973018179
さ	0.003008602973018179
務める	0.0055754541147661
た	0.028037383177570093
局	0.014389913746167455
による	0.002336448598130841
ディレクター	0.0071949568730837275
有効	0.002336448598130841
５月	0.0055754541147661
取得	0.002336448598130841
ばかり	0.0071949568730837275
スポーツ	0.003955951356448471
アナウンサー	0.021584870619251184
設定	0.004672897196261682
。	0.030373831775700934
アナ	0.021584870619251184
マンション	0.0071949568730837275
、	0.030373831775700934
電話	0.0055754541147661
仙台	0.0071949568730837275
　	0.007009345794392523
東京	0.004628105731335808
議員	0.014389913746167455
関係	0.004628105731335808
」	0.016355140186915886
「	0.016355140186915886
全国	0.002336448598130841
【	0.004628105731335808
から	0.0034345879187984477
】	0.004628105731335808
日	0.007009345794392523
東日本	0.0071949568730837275
Japan	0.002336448598130841
?	0.0055754541147661
新築	0.0071949568730837275
相手	0.0071949568730837275
分	0.007009345794392523
３月	0.014389913746167455
急上昇	0.002336448598130841
分かっ	0.0071949568730837275
末	0.0071949568730837275
生活	0.004628105731335808
キャンペーン	0.002336448598130841
更新	0.002336448598130841
なっ	0.011682242990654205
する	0.004672897196261682
ID	0.002336448598130841
務め	0.004628105731335808
ワード	0.004672897196261682
どき	0.03597478436541864
月	0.007009345794392523
リポート	0.0071949568730837275
ない	0.0034345879187984477
震災	0.0055754541147661
JavaScript	0.007009345794392523
RSS	0.002336448598130841
番組	0.0111509082295322
自動	0.003008602973018179
ゆう	0.03597478436541864
厳選	0.002336448598130841
タメ	0.003008602973018179
明子	0.014389913746167455
編集	0.002336448598130841
日刊	0.0071949568730837275
名	0.0071949568730837275
情報	0.004672897196261682
る	0.0071949568730837275
合	0.021584870619251184
れ	0.0026484378332348657
金	0.004672897196261682
も	0.002336448598130841
条件	0.002336448598130841
すべて	0.002336448598130841
首都	0.0071949568730837275
ページ	0.002336448598130841
を	0.02102803738317757
卒業	0.0071949568730837275
